,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
312,CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY,HATAY PHARMACEUTICAL JOINT STOCK COMPANY,HATAPHAR.,0500391400,"Số 10A , phố Quang Trung, Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội, Việt Nam","LÊ VĂN LỚ LÊ XUÂN THẮNG ( sinh năm 1951 - Hà Nội) Ẩn thông tin
Ngoài ra LÊ VĂN LỚ LÊ XUÂN THẮNG còn đại diện các doanh nghiệp:
ĐIỂM BÁN LẺ SỐ 02 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 05 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 13 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 21 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 03 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 10 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 20 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 18 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 22 PHÚC THỌ- CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 58 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁ LẺ SỐ 47 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 49 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 61 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 62 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
NHÀ THUỐC GPP SỐ 16 HÀ ĐÔNG - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
NHÀ THUỐC SỐ 05 - HÀ ĐÔNG - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 55 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
CÔNG TY CỔ PHẦN HATAPHAR CÔNG NGHỆ CAO
ĐIỂM BÁN LẺ SỐ 35 - CHI NHÁNH DƯỢC PHẨM THANH OAI - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 27 - CHI NHÁNH DƯỢC PHẨM THANH OAI - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 59 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 57 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 60 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 52 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 51 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 50 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 53 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 48 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
ĐIỂM BÁN LẺ SỐ 54 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
CÔNG TY CỔ PHẦN DƯỢC PHẨM CÔNG NGHỆ CAO HATAPHAR HEALTHCARE VIỆT NAM
ĐIỂM BÁN LẺ SỐ 56 BA VÌ - CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
CÔNG TY CỔ PHẦN DƯỢC PHẨM CÔNG NGHỆ CAO HATAPHAR HEALTHCARE VIỆT NAM",0904027283,2001-01-10,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thuốc, hoá dược và dược liệu
Chi tiết: Doanh nghiệp sản xuất thuốc; Sản xuất dược phẩm, dược liệu, mỹ phẩm, thực phẩm thuốc và trang thiết bị y tế;"
313,CÔNG TY CỔ PHẦN XÂY DỰNG FLC FAROS,FLC FAROS CONSTRUCTION JOINT STOCK COMPANY,"FLC FAROS .,JSC",0105167581,"Số 265 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","HƯƠNG TRẦN KIỀU DUNG
Ngoài ra HƯƠNG TRẦN KIỀU DUNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN CHỨNG KHOÁN BOS
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VÀ QUẢN LÝ KHU CÔNG NGHIỆP FLC
CÔNG TY CỔ PHẦN CHỨNG KHOÁN ARTEX
CÔNG TY CỔ PHẦN FLC TRAVEL",0432242600,2011-03-01,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động vui chơi giải trí khác chưa được phân vào đâu
314,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRANG KHANH,TRANG KHANH GROUP JOINT STOCK COMPANY,,0201725327,"Số 197 lô 22, đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam",TRẦN NGỌC LINHTRẦN TRỌNG HẢI,02253735759,2016-05-12,Chi cục Thuế khu vực Ngô Quyền - Hải An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn kim loại và quặng kim loại
Chi tiết: Bán buôn sắt, thép, tôn tấm; Bán buôn quặng kim loại; Bán buôn đồng, chì, nhôm"
315,CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT,TONMAT GROUP,TONMATGROUP,2300238060,"Khu công nghiệp Tiên Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam","TRẦN VĂN SƠN ( sinh năm 1960 - Thái Bình) Ẩn thông tin
Ngoài ra TRẦN VĂN SƠN còn đại diện các doanh nghiệp:
CHI NHÁNH HÀ NỘI - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT
CÔNG TY CỔ PHẦN TÔN MẠ MÀU FUJITON
CHI NHÁNH MIỀN NAM - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT
CHI NHÁNH THANH HÓA - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT
CÔNG TY CỔ PHẦN TÔN MẠ MÀU FUJITON (NỘP THAY)
CHI NHÁNH VĨNH LONG - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT
CHI NHÁNH TONMAT PANEL - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT
CHI NHÁNH TONMAT CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT",02223710666,2003-07-02,Cục Thuế Tỉnh Bắc Ninh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Gia công cơ khí; xử lý và tráng phủ kim loại
316,CÔNG TY CỔ PHẦN ĐẠI THIÊN LỘC,DAI THIEN LOC CORPORATION,DTLS,3700381282,"Lô CN8, đường CN5, KCN Sóng Thần 3, Phường Phú Tân, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam","NGUYỄN THANH NGHĨA
Ngoài ra NGUYỄN THANH NGHĨA còn đại diện các doanh nghiệp:
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT VÀ ĐẦU TƯ AN BÌNH",06503719999,2007-04-12,Cục Thuế Tỉnh Bình Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Rèn, dập, ép và cán kim loại; luyện bột kim loại
Chi tiết: Sản xuất tôn lợp, cán xà gồ; Sản xuất thép cán nóng, thép cán nguội, thép ống, dập cán sóng tôn, cán xà gồ thép."
317,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1,CONSTRUCTION JOINT STOCK COMPANY N01,COFICO JSC,0300408745,"108 Cao Thắng, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","LÊ ĐĂNG XULÊ ĐĂNG VINH ( sinh năm 1979 - Hồ Chí Minh) Ẩn thông tin
Ngoài ra LÊ ĐĂNG XULÊ ĐĂNG VINH còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1 (NT)",8397539,2006-08-04,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Xây dựng nhà các loại
Chi tiết: Tổng thầu xây dựng các công trình dân dụng và công nghiệp."
318,CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NAM PHÁT,NAM PHAT TRADING AND PRODUCING COMPANY LIMITED,"NAMPHAT TAP CO., LTD",0101806244,"P1010-N18-T1, Khu đô thị Trung Hoà Nhân Chính, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",NGUYỄN LƯƠNG NGỌC,Bị ẩn theo yêu cầu người dùng,2005-10-20,Chi cục Thuế Quận Thanh Xuân,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Đại lý, môi giới, đấu giá
Chỉ bao gồm: - Đại lý mua, bán, ký gửi hàng hoá."
319,CÔNG TY CỔ PHẦN TRAPHACO,TRAPHACO JOINT STOCK COMPANY,TRAPHACO,0100108656,"75 phố Yên Ninh, Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","TRẦN TÚC MÃ ( sinh năm 1965 - Nam Định) Ẩn thông tin
Ngoài ra TRẦN TÚC MÃ còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN TRAPHACO
CÔNG TY CỔ PHẦN TRAPHACO - CƠ SỞ HƯNG YÊN",(84-4) 38430076/3845,1999-12-24,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thuốc, hoá dược và dược liệu
Chi tiết: Sản xuất kinh doanh dược phẩm, hoá chất và vật tư thiết bị y tế; Sản xuất dược phẩm; Chế biến dược liệu;"
320,CÔNG TY CỔ PHẦN PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ MIỀN TRUNG,CENTRAL PETROVIETNAM FERTILIZER AND CHEMICALS JOINT STOCK COMPANY,,4100733174,"Lô A2, Cụm CN Nhơn Bình, Phường Nhơn Bình, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",TRỊNH VĂN CHƯƠNG,056 3848488,2008-08-15,Cục Thuế Tỉnh Bình Định,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn phân bón, thuốc trừ sâu và hóa chất khác sử dụng trong nông nghiệp
Chi tiết: Bán buôn phân bón"
321,CÔNG TY TNHH HÒA BÌNH,,,0100276146,"Số 84, phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","Nguyễn Hữu Đường
Ngoài ra Nguyễn Hữu Đường còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NGÀNH NƯỚC
CÔNG TY TNHH THƯƠNG MẠI MIỀN BẮC (ĐÓNG CỬA MÃ SỐ THUẾ 32134CT/XLDL-TH NGÀY 27/12/2004)
CÔNG TY CP MALT PHÚ MỸ",8233449,1993-04-21,Cục Thuế Thành phố Hà Nội,,,"Xây dựng công trình kỹ thuật dân dụng khác
Chi tiết: - Xây dựng công trình khác không phải nhà như: công trình thể thao ngoài trời. - Chia tách đất với cải tạo đất (ví dụ: đắp, mở rộng đường, cơ sở hạ tầng công...)."
322,CÔNG TY CỔ PHẦN ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,SAI GON THUONG TIN REAL ESTATE JOINT STOCK COMPANY,SACOMREAL,0303315400,"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","VÕ QUỐC KHÁNH
Ngoài ra VÕ QUỐC KHÁNH còn đại diện các doanh nghiệp:
CÔNG TY TNHH MỘT THÀNH VIÊN KINH DOANH DỊCH VỤ ĐỊA ỐC SÀI GÒN THƯƠNG TÍN
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ BẤT ĐỘNG SẢN TTC LAND PHÚ QUỐC
CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN THƯƠNG TÍN 620
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỔNG KHO VỊNH ĐẦM",08 3824 9988,2004-03-29,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê"
323,CÔNG TY CỔ PHẦN TRUNG ĐÔNG,TRUNG DONG CORPORATION,TRUNG DONG CORP.,3600669165,"Cụm công nghiệp Tam Phước 1, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","TRƯƠNG QUANG THỌ
Ngoài ra TRƯƠNG QUANG THỌ còn đại diện các doanh nghiệp:
DNTN TRUNG ĐÔNG
CÔNG TY CỔ PHẦN TRUNG ĐÔNG
CÔNG TY CỔ PHẦN TRUNG ĐÔNG - CHI NHÁNH AN PHƯỚC
CÔNG TY CỔ PHẦN TRUNG ĐÔNG
CÔNG TY TNHH MTV BAO BÌ TRUNG ĐÔNG
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TRUNG ĐÔNG",02513510046,2009-09-30,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sản phẩm từ plastic
Chi tiết: Sản xuất bao bì nhựa. (chỉ hoạt động khi cơ quan có thẩm quyền chấp thuận về địa điểm và có đủ điều kiện kinh doanh theo quy định của pháp luật)"
324,CÔNG TY CỔ PHẦN B.C.H,,,0800286887,"Km 77+500, Xã Kim Liên, Huyện Kim Thành, Tỉnh Hải Dương, Việt Nam",ĐẶNG NGỌC HƯNG,02203560641,2004-03-10,Cục Thuế Tỉnh Hải Dương,,,"Bán buôn kim loại và quặng kim loại
Chi tiết: bán buôn sắt, thép, phôi thép, quặng sắt, quặng mangan, bô xít nhôm,Đôlômít, huỳnh thạch, fero silic và các nguyên liệu khác phục vụ ngành luyện kim"
325,CÔNG TY TNHH THÉP NHẬT QUANG,NHAT QUANG STEEL COMPANY LIMITED,"S - STEEL CO., LTD",0900234699,"KCN Phố Nối A, Xã Lạc Đạo, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam","NGUYỄN NHẬT THĂNG ( sinh năm 1972 - Thái Bình) Ẩn thông tin
Ngoài ra NGUYỄN NHẬT THĂNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN THÉP NHẬT QUANG
KHO HÀNG",0321 3 990550,2004-03-01,Cục Thuế Tỉnh Hưng Yên,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sắt, thép, gang"
326,CÔNG TY CỔ PHẦN MÍA ĐƯỜNG LAM SƠN,LAM SON SUGAR CANE JOINT STOCK CORPORATION,LASUCO,2800463346,"Thị Trấn Lam Sơn, Huyện Thọ Xuân, Tỉnh Thanh Hoá, Việt Nam","LÊ VĂN TÂN
Ngoài ra LÊ VĂN TÂN còn đại diện các doanh nghiệp:
CÔNG TY TNHH LAM SƠN - SAO VÀNG
CÔNG TY CỔ PHẦN PHÂN BÓN LAM SƠN
CÔNG TY TNHH THỰC PHẨM CÔNG NGHỆ CAO TÂM PHÚ HƯNG
CÔNG TY TNHH NÔNG NGHIỆP CÔNG NGHỆ CAO MÍA ĐƯỜNG LAM SƠN
CÔNG TY TNHH THƯƠNG MẠI & XNK LAM SƠN
CÔNG TY CỔ PHẦN MÍA ĐƯỜNG LAM SƠN (NỘP HỘ NHÀ THẦU)",0373 834091,1999-12-23,Cục Thuế Tỉnh Thanh Hoá,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất đường
327,CÔNG TY CỔ PHẦN LOUIS HOLDINGS,LOUIS HOLDINGS JOINT STOCK COMPANY,LOUIS HOLDINGS JSC,1101573295,"14 Nguyễn Văn Vĩnh, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",HỒ ĐĂNG DÂN,0888 599 599,2012-06-05,Chi cục Thuế Quận Tân Bình,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Xay xát và sản xuất bột thô
Chi tiết: Xay xát, sản xuất tinh bột, sản xuất tinh bột và các sản phẩm từ tinh bột"
328,"CÔNG TY CỔ PHẦN ĐẦU TƯ, THƯƠNG MẠI VÀ DỊCH VỤ - VINACOMIN","VINACOMIN - INVESTMENT, TRADING AND SERVICE JOINT STOCK COMPANY",V - ITASCO,0200170658,"Số 1, phố Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",NGUYỄN ANH ĐỨCTHIỀU QUANG THẢO ( sinh năm 1974 - Sơn La) Ẩn thông tin,0436647595,2005-11-14,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
329,CÔNG TY TNHH BÊ TÔNG VÀ XÂY DỰNG MINH ĐỨC,MINH DUC CONCRETE & CONSTRUCTION COMPANY LIMITED,"MINH DUC CO.,LTD",0200611969,"Tổ dân phố Quyết Hùng, Thị Trấn Minh Đức, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam","NGUYỄN ANH DŨNG ( sinh năm 1981 - Hải Dương) Ẩn thông tin
Ngoài ra NGUYỄN ANH DŨNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÁT TRIỂN XÂY DỰNG MINH ĐỨC
CÔNG TY TNHH MINH ĐỨC T&C KOREA",02253675828,2004-12-02,Cục Thuế TP Hải Phòng,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kiểm tra và phân tích kỹ thuật
Chi tiết: Kiểm tra chất lượng vật liệu xây dựng"
330,CÔNG TY CỔ PHẦN DƯỢC PHẨM ECO,ECO PHARMA JOINT STOCK COMPANY,"ECO PHARMA., JSC",0102637020,"Số 180, đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGÔ CHÍ DŨNG
Ngoài ra NGÔ CHÍ DŨNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI THIÊN PHÚ HƯNG
CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA TÂM ANH TP. HỒ CHÍ MINH
CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC PHẨM ECO (TP. HÀ NỘI)
CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
CHI NHÁNH CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA TÂM ANH TP. HỒ CHÍ MINH
CÔNG TY CỔ PHẦN DƯỢC PHẨM ECO - CHI NHÁNH ĐÀ NẴNG
CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH ĐỒNG NAI
CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH BÌNH DƯƠNG
CHI NHÁNH CÔNG TY CỔ PHẦN DƯỢC PHẨM ECO (TP.HÀ NỘI) (NTNN)
CÔNG TY CỔ PHẦN EPLUS RESEARCH
CÔNG TY CỔ PHẦN DINH DƯỠNG NUTRIHOME
CÔNG TY CỔ PHẦN DINH DƯỠNG NUTRIHOME - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC HẠ LONG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC ĐÀ NẴNG-CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC PHÚ THỌ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC CẦN THƠ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC THÀNH PHỐ VINH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC NAM ĐỊNH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC LONG XUYÊN - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC RAÊCH GIA� - CÔNG TY CÔ� PHÂ�N VACXIN VIÊÊT NAM - CHI NHA�NH THA�NH PHÔ� HÔ� CHI� MINH
VNVC MỸ THO- CÔNG TY CỔ PHẦN VACXIN VIỆT NAM- CHI NHÁNH TP.HCM
VNVC BẮC NINH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC VĨNH YÊN - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC NINH BÌNH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC THÁI NGUYÊN - CÔNG TY CP VACXIN VIỆT NAM
VNVC TÂN AN-LONG AN-CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC BẮC GIANG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC NHA TRANG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC VŨNG TÀU - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC THÀNH PHỐ HUẾ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC BUÔN MA THUỘT - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM � CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC PLEIKU - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC QUẢNG NGÃI - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
VNVC TAM KỲ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA TÂM ANH TP. HỒ CHÍ MINH (NTNN)
VNVC QUY NHƠN - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH TP. HỒ CHÍ MINH
VNVC HƯNG YÊN - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC HẢI PHÒNG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC THANH HÓA - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
VNVC HÀ TĨNH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM
ĐỊA ĐIỂM KINH DOANH VNVC VĨNH LONG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH TP HỒ CHÍ MINH
ĐỊA ĐIỂM KINH DOANH VNVC BẾN TRE � CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
ĐỊA ĐIỂM KINH DOANH VNVC BÌNH PHƯỚC-CÔNG TY CỔ PHẦN VACXIN VIỆT NAM -CN THÀNH PHỐ HỒ CHÍ MINH
ĐỊA ĐIỂM KINH DOANH VNVC CÀ MAU - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
ĐỊA ĐIỂM KINH DOANH VNVC ĐỒNG HỚI - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH TP HỒ CHÍ MINH
CÔNG TY CỔ PHẦN DƯỢC PHẨM ECO",Bị ẩn theo yêu cầu người dùng,2008-01-29,Chi cục Thuế Quận Đống đa,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn đồ dùng khác cho gia đình
Chi tiết: Kinh doanh mỹ phẩm, hoá mỹ phẩm, Doanh nghiệp bán buôn thuốc; Kinh doanh hàng tạp hóa, văn phòng phẩm, thực phẩm, đồ dùng cá nhân, đồ dùng gia đình; Đại lý bán buôn vắc xin, sinh phẩm y tế"
331,CÔNG TY CỔ PHẦN CHỨNG KHOÁN SÀI GÒN- HÀ NỘI,SAI GON- HA NOI SECURITIES JOINT STOCK COMPANY,SHS,0102524651,"Tầng 1-5 Tòa nhà Unimex Hà Nội, số 41 Ngô Quyền, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",VŨ ĐỨC TIẾN ( sinh năm 1973 - Lào Cai) Ẩn thông tin,02438181888,2007-01-15,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
332,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI QUỐC TẾ,INTERNATIONAL INVESTMENT CONSTRUCTION AND TRADING JOINT STOCK COMPANY,"ICT.,JSC",0100828742,"Lô 02 - 9A, Khu công nghiệp quận Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",TẠ THANH XUÂN (TỨC HẢI),9715362/ 9719181,1999-02-09,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan
Chi tiết: Giám sát công tác XD - HT công trình: Thủy lợi Giám sát xây dựng và hoàn thiện công trình dân dụng, công nghiệp Thiết kế kết cấu công trình dân dụng, công nghiệp"
